1	2	Ghirmay Ghebreslassie	2:07:51	 	Eritrea	ERI
2	5	Lucas Rotich	2:08:53	 	Kenya	KEN
3	16	Abdi Abdirahman	2:11:23	AZ	United States	USA
4	11	Hiroyuki Yamamoto	2:11:49	 	Japan	JPN
5	14	Shadrack Biwott	2:12:01	CA	United States	USA
6	246	Tadesse Yae Dabi	2:13:06	NY	United States	ETH
7	6	Moses Kipsiro	2:14:18	 	Uganda	UGA
8	12	Tyler Pennel	2:15:09	NC	United States	USA
9	20	Ben Payne	2:15:46	CO	United States	USA
10	18	Patrick Smyth	2:16:34	NM	United States	USA
11	8	Craig Leon	2:17:14	OR	United States	USA
12	210	Musa Babo Ido	2:17:57	DC	United States	ETH
13	10	Christo Landry	2:19:14	NC	United States	USA
14	25	Brendan Martin	2:19:34	NY	United States	USA
15	216	Senbeto Geneti Guteta	2:20:01	NY	United States	ETH
16	28	Mariano Mastromarino	2:20:08	 	Argentina	ARG
17	15	Matthew Llano	2:20:15	AZ	United States	USA
18	241	Werkuneh Seyoum Aboye	2:20:54	NY	United States	ETH
19	17	Tim Ritchie	2:21:09	CT	United States	USA
20	29	Harbert Okuti	2:21:27	NY	United States	UGA
21	23	Jesper Faurschou	2:22:00	 	Denmark	DEN
22	26	Giovanni Gualdi	2:22:10	 	Italy	ITA
23	201	Suleman Abrar Shifa	2:23:25	NY	United States	ETH
24	33	Michael Cassidy	2:24:02	NY	United States	USA
25	24	John Dewitt	2:24:35	WI	United States	USA
26	209	Fredison Costa	2:25:34	FL	United States	BRA
27	22	Tyler McCandless	2:25:56	CO	United States	USA
28	243	Jeffrey Stein	2:26:39	DC	United States	USA
29	1635	Yohann Pruvot	2:26:50	 	France	FRA
30	32	Jerry Faulkner	2:27:01	NY	United States	USA
31	30	Zachary Ornelas	2:27:02	MI	United States	USA
32	238	Charles Remillard	2:27:09	NY	United States	USA
33	34	Bernard Dematteis	2:27:42	 	Italy	ITA
34	31	Matt Hensley	2:28:24	CO	United States	USA
35	247	Roger Konigs	2:29:02	 	Belgium	BEL
36	1633	Miguel Ferrer Muro	2:29:12	 	Spain	ESP
37	1638	Fabrice Evrard	2:29:45	 	France	FRA
38	245	Jeroen Veldhuis	2:29:50	 	Netherlands	NED
39	213	Brian Finnel	2:30:07	WI	United States	USA
40	225	Matthew Lawder	2:30:39	NY	United States	USA
41	220	Max Haines-Stiles	2:30:41	CA	United States	USA
42	219	Adrien Guiomar	2:30:44	 	France	FRA
43	229	Trevor Middleton	2:32:37	NY	United States	USA
44	9631	Adrien Bouvet	2:32:40	.	France	FRA
45	42	Michael Wardian	2:33:18	VA	United States	USA
46	1095	Kevin Hoyt	2:33:24	CT	United States	USA
47	1102	Thomas Petersen	2:33:26	MA	United States	USA
48	1037	Andrew Madison	2:33:33	MD	United States	USA
49	1054	Nicholas Roosa	2:33:38	NY	United States	USA
50	221	Francis Maundu	2:33:40	 	Kenya	KEN
51	1366	Christopher Legh	2:34:19	CO	United States	USA
52	233	Brendon O'leary	2:34:33	MA	United States	USA
